week_name,period_name,week_commencing,period_type
Autumn 1: Week 1,Autumn 1: Week 1-2,02/09/24,term_time
Autumn 1: Week 2,Autumn 1: Week 1-2,09/09/24,term_time
Autumn 1: Week 3,Autumn 1: Week 3-4,16/09/24,term_time
Autumn 1: Week 4,Autumn 1: Week 3-4,23/09/24,term_time
Autumn 1: Week 5,Autumn 1: Week 5-6,30/09/24,term_time
Autumn 1: Week 6,Autumn 1: Week 5-6,07/10/24,term_time
Autumn 1: Week 7,Autumn 1: Week 7-8,14/10/24,term_time
Autumn 1: Week 8,Autumn 1: Week 7-8,21/10/24,term_time
Autumn Half Term,Autumn Half Term,28/10/24,holiday
Autumn 2: Week 1,Autumn 2: Week 1-2,04/01/24,term_time
Autumn 2: Week 2,Autumn 2: Week 1-2,11/11/24,term_time
Autumn 2: Week 3,Autumn 2: Week 3-4,18/11/24,term_time
Autumn 2: Week 4,Autumn 2: Week 3-4,25/11/24,term_time
Autumn 2: Week 5,Autumn 2: Week 5-7,02/12/24,term_time
Autumn 2: Week 6,Autumn 2: Week 5-7,09/12/24,term_time
Autumn 2: Week 7,Autumn 2: Week 5-7,16/12/24,term_time
Christmas Holiday Week 1,Christmas Holiday,23/12/24,holiday
Christmas Holiday Week 2,Christmas Holiday,30/12/24,holiday
Spring 1: Week 1,Spring 1: Week 1-2,06/01/24,term_time
Spring 1: Week 2,Spring 1: Week 1-2,13/01/24,term_time
Spring 1: Week 3,Spring 1: Week 3-4,20/01/24,term_time
Spring 1: Week 4,Spring 1: Week 3-4,27/01/24,term_time
Spring 1: Week 5,Spring 1: Week 5-6,03/02/24,term_time
Spring 1: Week 6,Spring 1: Week 5-6,10/02/24,term_time
Spring Half Term,Spring Half Term,17/02/24,holiday
Spring 2: Week 1,Spring 2: Week 1-2,24/02/24,term_time
Spring 2: Week 2,Spring 2: Week 1-2,03/03/24,term_time
Spring 2: Week 3,Spring 2: Week 3-4,10/03/24,term_time
Spring 2: Week 4,Spring 2: Week 3-4,17/03/24,term_time
Spring 2: Week 5,Spring 2: Week 5-6,24/03/24,term_time
Spring 2: Week 6,Spring 2: Week 5-6,31/03/24,term_time
Easter Holiday Week 1,Easter Holiday,07/04/24,holiday
Easter Holiday Week 2,Easter Holiday,14/04/24,holiday
Summer 1: Week 1,Summer 1: Week 1-2,21/04/24,term_time
Summer 1: Week 2,Summer 1: Week 1-2,28/04/24,term_time
Summer 1: Week 3,Summer 1: Week 3-4,05/05/24,term_time
Summer 1: Week 4,Summer 1: Week 3-4,19/05/24,term_time
Summer Half Term,Summer Half Term,26/05/24,holiday
Summer 2: Week 1,Summer 2: Week 1-2,02/06/24,term_time
Summer 2: Week 2,Summer 2: Week 1-2,09/06/24,term_time
Summer 2: Week 3,Summer 2: Week 3-4,16/06/24,term_time
Summer 2: Week 4,Summer 2: Week 3-4,23/06/24,term_time
Summer 2: Week 5,Summer 2: Week 5-6,30/06/24,term_time
Summer 2: Week 6,Summer 2: Week 5-6,07/07/24,term_time
Summer 2: Week 7,Summer 2: Week 7-8,14/07/24,term_time
Summer 2: Week 8,Summer 2: Week 7-8,21/07/24,term_time
